gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction
EMX1,374.40401996730316,1.013199005074833,0.28414116513857346,3.5658296979978372,3.6270685844091587e-4,0.026400314286426238,Up
MIEF2,134.4484411844344,1.415838839798211,0.39706960329579205,3.5657195314029098,3.628592698266915e-4,0.026400314286426238,Up
WDR90,303.7101280548994,1.011262942743929,0.2839997298505803,3.5607883967917187,3.697429641720386e-4,0.026630783444612206,Up
TNFRSF6B,28.957872560909973,1.7218186388687227,0.4855062367804277,3.546439795061629,3.904739524773034e-4,0.027569769265306358,Up
NDOR1,492.1247169555831,1.0382359545346365,0.29332162696825875,3.5395820119564085,4.0076122712715554e-4,0.027851516127651053,Up
KIFC2,87.03898235940966,1.2685758890565617,0.3587528065777635,3.5360723757336916,4.0612341245231773e-4,0.027851516127651053,Up
NRSN2,42.89276811743709,1.695907035547453,0.4817660060649614,3.520188253628623,4.3124060340556596e-4,0.028916422840120585,Up
ZNF219,427.4035959693232,1.1152969299710285,0.31768618576690943,3.5106875273114224,4.469494355870376e-4,0.029251718083420135,Up
KIF26A,55.10106917023742,1.646807871433848,0.47001114727962107,3.503763434049197,4.58732677216105e-4,0.029525285981847425,Up
AJM1,30.509490831264063,3.258366342537474,0.9334084855691016,3.4908257134076077,4.8153026454657896e-4,0.030538819830735028,Up
LOC114117869,23.148078773665087,2.504969356648064,0.7184326875489242,3.48671406529993,4.889938660478781e-4,0.030574666442483103,Up
FAM222A,33.35410215951727,1.6288299635339158,0.4669879796322058,3.4879483724972173,4.867420546489114e-4,0.030574666442483103,Up
TMEM160,366.3752048679675,1.5924307949119256,0.45709272092817527,3.48382444524237,4.943036011063935e-4,0.03067036153531575,Up
DACT2,47.94784630318745,1.8984733904445132,0.545184407148969,3.482259150390126,4.972022629298912e-4,0.030717241528336766,Up
SLC41A2,257.2605435665206,-1.9763329415719142,0.5691298096461871,-3.4725521455299417,5.155348507319367e-4,0.03157761117752499,Down
LOXL1,611.9907724403356,1.0292204904704823,0.2965128813137309,3.4710818832234702,5.183659046623895e-4,0.03161590855968523,Up
WFIKKN1,52.273692090197805,1.3271961275972743,0.38327382703991164,3.4627883094638467,5.346088226231409e-4,0.03167005243969823,Up
TRIM50,39.680692580782406,1.9089555961273912,0.5524528422291446,3.4554181827081645,5.49439917994923e-4,0.032143356508658086,Up
CASKIN1,80.55142590653395,1.4319780219534712,0.4148888036670761,3.451474248754492,5.575329570464489e-4,0.032352712037841104,Up
GALK1,474.8753704106766,1.0257931257186421,0.2974565521389685,3.4485477571171557,5.636097930652734e-4,0.03244264724499824,Up
PTMS,3870.8394297357736,1.3475494637659668,0.3918166675996176,3.439234660489165,5.833613336843072e-4,0.0334452719827887,Up
GRIN1,72.96423505685853,1.9619127159186258,0.5710794062932065,3.4354464445725967,5.915783776544411e-4,0.03357613006959558,Up
MMP15,230.56203310126477,1.0932374357164387,0.31858351758738107,3.4315567986551145,6.001274447421207e-4,0.033725847492733475,Up
STC1,979.4672571431238,-1.8411638057077246,0.537859315957179,-3.423132687459683,6.190385188788425e-4,0.03418722211487633,Down
MEDAG,25.56727727062527,-4.578986523711624,1.341822451629614,-3.4125129730468773,6.436686317183713e-4,0.03433521380962748,Down
SCARF2,441.33085620750666,1.0242561211852683,0.30012912314593254,3.4127182009166157,6.43184134207267e-4,0.03433521380962748,Up
XRCC3,34.32109090623261,2.0352962006079527,0.5958374178158657,3.415858319319129,6.358131838279063e-4,0.03433521380962748,Up
SIVA1,348.3821585887057,1.005087340035552,0.29443513136082083,3.4136121440068563,6.410776867259348e-4,0.03433521380962748,Up
ATP5ME,1294.7645993671629,1.2782760024435647,0.3748805093843866,3.409822517960982,6.500516737837439e-4,0.03450811348274963,Up
ISOC2,1901.951876354367,1.1214087236301695,0.33079383041136545,3.390053321839826,6.987903026660252e-4,0.03587475121569957,Up
MRPS11,290.59132050419504,1.1556594169670735,0.3410778785543533,3.38825672853747,7.033839379253891e-4,0.035877587125567975,Up
LOC114113676,128.16768148450842,-1.5674248080925393,0.4628245787706151,-3.386649888508591,7.075161572520797e-4,0.03596038681522716,Down
LOC105613000,895.8926966376123,-1.4430336841141211,0.4277818548184728,-3.373293345334775,7.427477687807267e-4,0.036614644866824725,Down
TMEM9,1811.8422028943244,1.1157540639586652,0.33075461629073666,3.373359006962146,7.425706511876853e-4,0.036614644866824725,Up
LOC101107809,91.27210604496209,-1.731308674593986,0.5129209894410524,-3.3753905771737918,7.371099779206187e-4,0.036614644866824725,Down
