D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
TRNAC-ACA_5	0	0	0	0	0	0	0	0	0
LOC114111198	0	0	0	0	0	0	0	0	0
USP1	1331	896	989	697	557	1072	574	661	1173
DOCK7	1088	544	741	369	275	809	492	518	769
ANGPTL3	873	32	247	46	48	11	171	150	88
TRNAC-ACA_6	0	0	0	0	0	0	0	0	0
ATG4C	830	382	486	527	447	769	437	333	710
LOC106990820	0	0	0	0	0	0	0	0	0
LOC105611362	1	0	0	0	0	0	0	0	0
FOXD3	1	0	0	0	0	1	2	0	0
ALG6	443	151	191	140	152	223	198	160	247
LOC114115268	4	1	1	0	0	3	0	1	0
ITGB3BP	444	238	290	184	224	298	149	150	309
EFCAB7	376	201	203	165	148	184	152	176	258
PGM1	845	475	496	575	672	710	603	670	744
ROR1	216	105	119	82	65	227	42	74	95
UBE2U	4	3	0	11	8	6	1	5	0
LOC114111064	0	0	0	0	0	0	0	0	0
CACHD1	935	655	795	561	511	807	666	591	1161
LOC105611720	1	2	4	1	1	1	2	0	1
RAVER2	549	273	337	215	225	314	233	317	313
LOC114115286	17	8	8	9	8	9	12	6	21
JAK1	4567	2850	3247	2265	1851	4234	2489	2771	3565
LOC114115288	10	7	2	4	0	3	2	6	8
TRNAG-GCC	6	0	0	2	0	3	1	2	4
LOC114115290	17	13	16	6	21	19	7	16	12
AK4	10243	4213	6817	1931	1928	2354	4620	4208	4812
TRNAE-UUC_3	3	0	0	0	0	0	3	0	0
DNAJC6	676	114	598	116	141	129	336	207	333
LEPROT	4685	1840	2640	2419	1984	2682	1778	1816	3341
LEPR	12	29	17	0	0	42	4	2	3
LOC114111077	0	0	0	0	0	0	0	0	0
TRNAS-GGA_1	0	0	0	0	0	0	0	0	0
PDE4B	326	58	191	50	47	110	96	108	89
SGIP1	116	142	102	55	47	167	64	37	128
TCTEX1D1	3	0	4	0	0	4	1	6	1
INSL5	1	0	0	0	0	0	0	0	0
WDR78	17	11	7	13	3	15	6	5	20
MIER1	1831	1382	1303	775	622	1751	640	760	1646
SLC35D1	2563	990	1576	574	471	1133	1195	1102	2356
C1H1orf141	3	9	17	0	0	9	14	10	24
IL23R	2	1	0	0	0	5	3	1	0
IL12RB2	34	27	32	10	13	11	11	9	15
SERBP1	3651	2534	2994	2584	2212	2895	2184	2185	3472
GADD45A	1809	1890	4148	3239	3080	1101	2127	1034	4251
GNG12	6262	3379	4475	2041	1661	3478	2578	2734	5157
LOC114111122	0	0	0	0	0	0	0	0	0
LOC114116104	0	0	0	8	0	0	7	0	2
DIRAS3	607	398	355	698	549	434	507	196	903
WLS	3916	1839	2564	1859	1615	2234	1782	2141	2907
TRNAD-GUC	0	0	2	0	0	0	0	0	5
RPE65	0	0	0	0	0	0	0	0	0
DEPDC1	0	5	1	0	0	12	0	4	7
TRNAC-GCA_3	0	0	0	0	0	0	0	0	0
TRNAC-GCA_4	0	0	0	0	0	0	0	0	0
LOC114115326	0	0	0	0	0	0	0	0	0
LRRC7	7	5	7	2	10	3	1	23	8
LOC114110978	0	0	0	0	0	0	0	0	0
LRRC40	984	627	793	329	254	492	400	456	896
SRSF11	4023	3078	2882	2126	2076	5312	2230	1928	3998
ANKRD13C	990	537	676	456	354	706	525	477	787
CTH	3238	933	1673	1640	1605	2445	1974	1348	1945
LOC114113038	0	0	1	0	0	0	0	0	0
LOC114116158	2870	1085	3655	2360	3057	6316	1264	1328	7347
PTGER3	451	292	197	383	354	1552	212	600	630
LOC114115336	0	0	0	0	0	0	0	0	0
LOC105609897	18	13	19	30	24	32	15	6	21
ZRANB2	1569	656	752	542	510	1074	618	571	966
LOC105609898	2	0	0	0	0	0	0	0	0
TRNAW-CCA_2	0	0	0	0	0	0	0	0	0
LOC114115339	0	3	1	0	0	2	0	2	0
NEGR1	3	16	1	1	0	9	1	1	1
RPRM	10	28	18	60	35	34	64	63	52
LOC114116198	183	117	137	282	297	246	204	195	299
LOC101115554	358	313	269	392	260	354	219	303	333
LOC114111434	0	0	0	0	0	0	0	0	0
LRRIQ3	95	39	62	57	33	61	51	37	67
FPGT	826	375	569	527	418	803	437	401	784
LOC101120030	9	10	9	9	8	25	7	1	12
LRRC53	0	0	0	0	0	0	0	0	0
ERICH3	97	121	95	68	44	42	12	47	36
TRNAW-CCA_3	0	1	0	0	0	0	0	0	0
CRYZ	31782	15684	21083	13964	12417	9761	15743	16452	21190
TYW3	271	166	195	217	244	174	188	140	214
LHX8	0	0	0	0	0	0	0	0	0
SLC44A5	0	0	0	0	0	0	0	0	1
TRNAC-GCA_5	0	0	0	0	0	0	0	0	0
LOC114111066	0	0	0	0	0	0	0	0	0
LOC105605964	6	1	2	2	5	2	3	8	1
LOC114115357	4834	3227	3499	336	445	1191	2072	2104	2577
LOC114116348	0	0	0	0	0	0	0	0	0
LOC114115359	275	433	323	199	146	234	224	279	304
RABGGTB	1080	741	699	828	738	664	529	508	1031
LOC114111288	7	2	2	4	0	1	2	0	2
LOC114111291	4	0	1	0	3	0	1	5	2
LOC114111289	4	2	7	0	0	5	0	2	2
MSH4	21	3	5	2	6	16	5	6	11
ASB17	0	0	0	0	0	0	0	0	0
ST6GALNAC3	2366	879	1009	839	712	627	642	888	912
TRNAC-GCA_6	0	0	0	0	0	0	0	3	0
TRNAC-GCA_7	0	0	0	0	0	0	0	0	2
ST6GALNAC5	0	0	0	1	0	2	3	0	0
PIGK	2309	960	1399	1347	1173	1473	1138	1173	1909
AK5	64	121	38	125	95	166	62	52	13
ZZZ3	1862	1019	1097	589	497	1184	752	764	1138
USP33	1922	1080	1400	676	537	1181	930	978	1658
MIGA1	2342	835	1239	765	577	908	1102	961	1242
LOC114111133	2	1	1	2	5	7	1	3	1
LOC114111078	0	0	2	0	0	0	2	0	1
NEXN	154	130	148	175	114	253	121	67	205
FUBP1	1736	1122	1198	1221	1151	2432	1031	927	1609
DNAJB4	931	561	938	539	508	744	371	448	1005
GIPC2	3049	1780	2352	1750	1514	2391	2215	1810	3180
TRNAG-CCC_2	0	0	0	0	0	0	0	0	0
LOC114111140	0	0	0	0	0	0	0	0	0
LOC105614727	3	4	1	4	1	5	1	1	2
PTGFR	451	232	488	151	126	209	182	188	401
IFI44L	685	387	190	174	111	214	61	61	471
IFI44	734	433	336	185	164	376	108	178	589
ADGRL4	1209	773	1050	565	605	1667	528	756	1221
LOC114111194	0	0	0	0	0	0	0	0	0
TRNAW-CCA_4	0	0	0	0	0	0	0	0	0
LOC114111170	0	0	0	0	0	0	0	0	0
LOC114113047	0	0	0	0	0	0	0	0	0
LOC105608835	57	21	19	11	4	42	49	55	47
ADGRL2	3071	1868	2852	1126	1045	2110	1387	1399	2479
TTLL7	239	190	163	107	97	176	106	78	189
PRKACB	1271	676	833	621	537	974	584	599	973
SAMD13	20	10	12	24	19	13	13	18	20
LOC101109838	0	4	0	0	1	2	1	0	6
DNASE2B	0	0	0	0	0	0	0	0	0
RPF1	934	708	785	769	699	754	460	530	934
GNG5	344	346	341	456	457	383	296	369	376
SPATA1	28	19	19	18	13	48	17	25	27
CTBS	6	9	11	5	2	5	4	1	8
SSX2IP	1471	828	865	563	500	920	535	505	990
LPAR3	24	14	14	8	7	19	12	7	15
MCOLN2	35	29	26	18	16	42	12	20	38
MCOLN3	0	5	3	9	0	4	2	4	3
LOC114115573	38	27	34	14	34	19	59	51	57
WDR63	2	6	1	4	0	7	0	4	5
LOC114111363	0	0	0	0	0	0	0	0	0
LOC114115574	0	0	0	0	0	0	0	0	0
SYDE2	2305	1143	1142	688	574	1351	778	952	1406
TRNAG-CCC_3	0	1	0	0	0	0	0	0	0
C1H1orf52	118	82	87	212	189	117	102	96	148
BCL10	640	405	384	515	428	541	347	291	553
LOC114115576	2	5	0	1	12	0	3	0	3
DDAH1	4396	1841	3665	1146	1060	1452	2170	2192	2776
CCN1	511	1113	320	320	333	414	148	254	572
LOC106990846	21	17	80	14	4	27	7	26	11
LOC105609229	2	1	7	0	0	2	0	0	0
ZNHIT6	155	84	100	148	139	125	92	77	139
COL24A1	2	3	6	7	4	5	0	0	5
TRNAV-CAC	0	0	0	0	0	0	0	0	0
ODF2L	332	220	241	202	158	354	178	205	287
LOC105609231	3	3	0	4	4	1	0	3	1
LOC114113054	0	0	0	0	0	0	0	0	0
CLCA2	0	0	0	0	0	0	0	0	0
CLCA1	0	0	0	0	0	0	0	0	0
CLCA4	0	0	0	0	0	0	0	0	0
LOC101116002	17	4	17	2	6	2	4	0	7
LOC105609232	21	16	10	10	28	36	15	15	35
LOC101116267	6	2	1	1	2	10	7	1	18
SH3GLB1	1874	1405	1477	972	852	1630	891	1005	1724
SELENOF	4632	2494	3102	3382	2665	3691	2046	1982	4164
HS2ST1	281	167	205	48	34	106	115	70	132
LOC114111249	0	0	0	0	0	0	0	0	0
LOC105609234	0	0	0	0	0	0	0	0	0
LMO4	1027	592	523	761	625	819	567	516	811
LOC114111184	0	0	0	0	0	0	0	0	0
LOC114113056	0	0	0	1	0	0	1	0	0
PKN2	1355	824	1039	463	329	907	558	595	1060
GTF2B	848	527	570	765	599	689	383	437	697
KYAT3	589	253	261	305	286	476	292	232	446
LOC101119517	92	133	61	89	145	167	37	55	257
LOC101119773	77	112	63	48	36	113	24	55	124
LOC101120395	364	311	90	196	109	220	37	122	234
LOC114108739	171	42	11	125	94	115	38	9	66
LOC101120367	276	201	132	76	94	217	49	79	126
LOC101120617	0	0	0	0	0	0	0	0	0
LOC101105481	11	8	2	3	3	1	1	10	11
LOC101103547	0	0	0	0	0	0	0	1	0
LOC114115619	0	0	0	0	0	0	0	0	0
LOC114115617	65	44	19	13	18	36	5	21	16
LOC105614852	193	554	13	139	115	151	24	0	49
LOC114115621	27	49	0	10	11	12	0	0	1
LOC101114579	48	54	44	76	99	26	54	33	34
GBP6	460	546	276	270	218	481	151	133	367
LRRC8B	3247	1609	2062	762	705	689	1275	1696	2007
LOC105611345	110	115	126	127	170	148	118	108	119
LRRC8C	156	81	77	36	10	131	62	40	75
LOC105611344	102	52	101	48	55	53	33	45	40
LRRC8D	8724	3461	5555	2716	2495	3183	4701	4143	6081
ZNF326	1223	937	1009	768	830	1174	759	778	1452
LOC443297	4	2	5	1	2	3	0	2	2
BARHL2	0	0	0	0	0	0	0	0	0
ZNF644	3422	1634	1891	1015	830	1964	1187	1237	2130
HFM1	18	16	6	11	4	4	4	6	4
LOC114115641	0	0	0	0	0	0	0	0	0
CDC7	328	269	239	215	228	400	195	211	272
TGFBR3	2141	2251	1841	1515	1105	3029	951	1281	2320
LOC114115646	3	4	3	8	2	0	4	4	3
LOC114115647	0	0	0	0	0	0	0	0	0
LOC101116368	0	0	0	3	0	0	0	0	0
LOC114113088	0	0	0	0	0	0	0	0	0
PRD-SPRRII	0	0	0	0	0	0	0	0	0
BRDT	0	0	0	0	0	0	0	0	0
EPHX4	0	0	0	0	0	4	0	0	3
LOC101120465	0	0	0	0	2	0	0	0	0
KIAA1107	284	216	272	108	80	257	185	132	310
TRNAE-UUC_4	4	5	0	2	5	6	4	1	5
LOC114111182	0	4	0	0	0	0	0	1	0
C1H1orf146	3	2	0	0	3	7	0	2	2
GLMN	220	135	105	126	145	189	93	96	154
RPAP2	550	328	400	236	189	488	260	265	466
GFI1	40	27	16	38	29	40	29	9	32
EVI5	737	465	541	369	293	747	374	393	709
LOC114111229	0	0	0	0	0	0	0	0	0
RPL5	16781	12699	13711	13428	11923	11649	6914	8532	13271
LOC114111244	0	1	2	0	7	0	0	1	0
LOC114111264	6	0	1	5	2	5	1	0	8
DIPK1A	236	123	126	139	78	143	97	98	210
LOC114115702	0	0	0	0	1	0	0	0	0
MTF2	663	349	392	304	219	588	222	290	525
TMED5	1757	746	814	506	358	1013	575	700	1151
CCDC18	41	30	38	37	22	45	20	30	49
DR1	2185	1178	1615	1180	886	1459	1160	1254	1993
LOC114113093	4	5	1	12	5	4	4	2	4
FNBP1L	3791	1594	2387	990	1024	2404	1906	1505	3401
BCAR3	996	744	868	1246	1043	1031	766	880	1399
TRNAR-UCU	0	0	0	0	0	0	0	0	0
DNTTIP2	1271	897	1163	636	550	1015	600	750	1100
GCLM	3363	1623	2464	1840	1643	1885	1535	2148	3681
ABCA4	294	75	176	145	150	161	135	184	119
ARHGAP29	1611	1168	1493	261	232	1756	648	799	1236
ABCD3	5401	2579	3816	1996	1736	2260	3161	3451	4551
F3	134	182	369	156	147	148	65	100	196
LOC114113097	0	2	6	0	1	2	0	0	1
SLC44A3	775	416	737	307	272	325	479	419	635
CNN3	3959	2423	2993	2765	2660	3068	2229	2601	3026
ALG14	475	266	296	407	285	302	283	241	350
LOC101108787	1719	994	1344	658	562	1654	786	835	1591
RWDD3	224	131	141	147	191	134	123	112	139
LOC114113098	0	0	0	0	0	0	1	0	0
PTBP2	573	309	298	473	337	681	183	216	437
DPYD	35557	16346	21178	11787	9659	6168	20675	19515	30213
LOC114115994	5	2	10	4	6	6	13	12	8
LOC114115942	902	107	443	586	516	499	352	727	929
LOC114115983	72	70	59	6	14	10	128	105	60
LOC114111147	0	0	0	8	0	0	0	0	0
TRNAC-ACA_7	0	0	0	0	0	0	0	0	0
SNX7	489	238	234	260	262	202	210	228	389
PLPPR5	1	0	0	0	0	1	3	0	2
LOC101118649	4	4	6	8	11	3	8	3	10
PLPPR4	4	0	0	3	0	7	1	2	6
PALMD	75	88	87	84	70	168	42	88	74
FRRS1	51	40	57	72	62	106	36	15	85
AGL	1239	625	912	496	526	826	669	536	1005
SLC35A3	2690	887	1296	614	436	1062	1141	1059	1561
LOC114110975	0	0	0	0	0	2	0	0	0
MFSD14A	1869	1074	1089	1055	785	1307	883	883	1587
SASS6	338	168	167	160	146	232	99	133	271
TRMT13	782	500	353	346	396	807	302	272	743
LRRC39	10	12	10	13	13	24	4	9	35
RTCA	780	480	559	489	428	717	432	318	566
DBT	2381	1097	1413	1056	909	1489	1274	940	1757
CDC14A	399	336	296	167	155	308	174	168	319
GPR88	30	18	15	45	22	36	5	14	15
LOC101113636	424	228	246	89	105	249	221	122	169
LOC101114226	1483	908	723	502	511	1026	433	605	508
LOC101123118	440	291	292	508	415	406	309	314	518
EXTL2	34	58	45	42	24	39	26	30	28
SLC30A7	186	123	157	17	18	80	114	83	113
LOC114111192	4	0	0	0	0	0	0	0	0
DPH5	603	346	372	166	124	296	220	274	370
LOC114116081	26	23	45	0	10	28	3	19	26
LOC105615111	71	21	20	33	29	40	31	14	30
LOC114116089	120	67	58	57	69	96	54	79	106
S1PR1	723	745	1050	729	658	802	403	505	1023
OLFM3	0	0	0	0	0	0	0	0	0
LOC101117289	0	0	0	0	0	0	0	0	0
COL11A1	18	65	20	10	6	11	11	4	19
RNPC3	759	490	388	427	498	1067	411	321	752
LOC101118831	0	0	0	0	0	4	0	0	6
LOC101119090	0	0	0	0	2	0	0	0	0
LOC114110993	0	0	0	0	0	0	0	0	0
PRMT6	323	203	180	353	316	310	231	266	475
NTNG1	23	13	25	25	3	32	10	3	10
LOC114116103	0	0	0	4	0	0	0	0	0
VAV3	2167	1045	1388	880	891	1254	1159	1436	1652
SLC25A24	452	409	278	249	228	651	192	141	244
LOC101121385	0	0	0	10	0	0	0	0	0
LOC101102447	2	0	1	7	5	3	0	0	3
FAM102B	217	143	139	71	96	167	54	102	171
HENMT1	7	26	9	20	11	8	3	8	12
PRPF38B	1025	718	849	988	857	1218	713	639	1161
FNDC7	1	0	1	0	0	0	2	0	0
STXBP3	1514	981	1092	763	807	1116	696	704	1196
AKNAD1	25	16	7	9	7	15	9	15	5
GPSM2	99	101	67	43	73	109	100	65	63
LOC114111279	0	0	0	0	0	0	0	0	0
CLCC1	1511	851	1109	694	619	1291	563	699	1066
LOC105607966	1	0	0	0	0	1	0	3	0
WDR47	571	381	500	221	278	462	294	329	541
TAF13	549	397	427	522	399	384	303	303	575
TMEM167B	2532	1175	1619	1463	1210	1195	1031	1272	1875
LOC114111377	9	3	10	7	7	4	1	6	5
C1H1orf194	15	9	1	20	7	9	11	2	5
LOC105607968	0	1	3	0	5	1	0	0	0
KIAA1324	9	9	17	23	8	39	8	16	16
SARS	2042	1409	1471	2027	1983	1905	1463	1459	1729
CELSR2	1126	371	606	349	384	912	571	641	531
PSRC1	75	46	46	50	86	46	88	44	57
LOC114116166	0	0	0	0	0	1	0	0	0
MYBPHL	6	1	7	6	0	8	2	5	8
SORT1	3625	1832	2366	1313	1119	2620	1750	1807	2107
PSMA5	1237	699	715	1053	845	808	563	610	893
SYPL2	29	9	24	24	27	16	43	21	32
ATXN7L2	81	18	16	65	52	63	47	45	56
LOC101105614	234	134	114	160	178	138	121	105	163
AMIGO1	1001	397	515	264	259	449	374	437	454
GPR61	0	0	0	0	0	2	0	0	0
GNAI3	1494	915	1039	593	508	1039	751	847	1088
GNAT2	746	403	443	473	450	561	302	349	549
AMPD2	321	216	152	342	381	447	267	245	299
LOC101107401	260	165	57	223	158	183	88	135	157
LOC101107831	13	2	46	3	17	32	5	1	15
LOC106990219	14	41	14	30	38	8	0	6	7
LOC114116333	897	380	592	897	768	884	697	575	886
LOC114108708	81	105	45	139	111	95	146	42	81
LOC101108092	742	150	384	717	511	671	544	442	549
LOC101108705	83	49	43	126	97	124	83	70	132
GSTM3	907	369	490	501	534	563	571	664	573
EPS8L3	10	0	0	4	0	2	2	4	4
LOC114113138	2	0	0	0	0	0	0	0	8
CSF1	436	318	224	407	285	362	169	239	418
AHCYL1	1203	676	924	236	213	744	719	594	828
STRIP1	570	319	351	414	392	458	377	388	513
ALX3	0	1	0	1	0	0	0	0	0
LOC114116343	0	0	0	0	0	0	0	0	0
UBL4B	0	0	0	0	0	0	0	0	0
SLC6A17	104	93	87	138	109	104	221	172	277
LOC114116350	0	0	0	0	1	0	0	0	0
KCNC4	39	30	21	51	38	44	40	16	44
LOC114113143	0	0	0	0	0	0	0	0	0
RBM15	466	276	238	246	173	277	260	250	353
SLC16A4	15076	5780	10077	3477	3099	4429	5176	5477	8766
LAMTOR5	1918	1282	1443	2393	2132	1221	1245	1296	2051
LOC114113146	11	0	0	0	8	9	2	2	5
PROK1	3	0	0	6	4	3	2	13	4
LOC114113153	0	0	0	3	2	0	3	1	6
CYM	0	0	0	0	0	0	0	0	0
KCNA10	0	0	0	0	0	0	0	0	0
LOC114116356	3	8	4	9	14	36	3	6	6
KCNA2	3	8	0	0	0	11	2	1	0
KCNA3	422	270	210	97	75	374	135	93	233
TRNAK-UUU	0	0	0	0	0	0	0	0	0
LOC101105715	0	0	0	0	0	0	0	0	0
CD53	272	203	175	200	175	157	105	84	234
LOC114111178	0	0	0	0	0	0	0	0	0
LRIF1	483	278	368	135	183	507	237	215	388
DRAM2	3121	1390	2286	1213	1073	1976	1512	1304	2662
CEPT1	2430	1256	1633	1644	1452	1381	1170	1180	2181
DENND2D	202	211	143	173	127	143	133	137	199
CHI3L2	2	0	0	6	0	4	2	0	2
CHIA	0	0	0	0	0	0	0	0	0
PIFO	0	0	0	0	0	0	0	0	0
LOC101106738	0	0	0	0	0	0	0	0	0
LOC114111016	0	0	0	0	0	0	0	0	0
LOC101113807	0	0	0	0	0	0	0	0	0
LOC114108733	0	0	0	0	0	0	0	0	0
LOC101114067	0	0	0	0	0	0	0	0	0
OVGP1	15	4	4	35	18	15	13	14	15
WDR77	433	209	196	300	246	274	180	196	381
ATP5PB	5473	2575	3183	4557	3876	3554	3477	3071	5739
C1H1orf162	17	32	16	18	22	42	15	7	29
TMIGD3	1	3	2	0	0	2	0	0	1
ADORA3	55	51	36	35	25	36	31	31	58
LOC114111036	0	0	0	0	0	0	0	0	0
RAP1A	1893	1139	1338	1494	1242	1551	967	973	1823
INKA2	32	15	18	38	21	14	9	17	36
DDX20	569	251	327	314	348	498	294	299	457
KCND3	428	96	202	16	13	17	242	216	75
LOC114113162	0	0	0	0	0	1	0	0	0
CTTNBP2NL	664	497	533	453	360	678	285	393	474
LOC114116389	1	2	0	0	3	4	3	0	1
WNT2B	113	73	94	132	135	173	178	166	125
ST7L	768	472	540	350	372	627	376	403	659
CAPZA1	2206	1031	1269	770	689	1552	910	867	1939
MOV10	744	490	410	410	480	435	429	373	734
RHOC	1277	1139	1188	1772	1658	801	1626	997	1544
PPM1J	26	18	34	55	75	33	28	17	39
TAFA3	3	6	0	1	1	3	1	4	2
LOC101108016	0	0	0	0	0	0	1	0	0
SLC16A1	14394	3280	8143	3871	2966	452	5607	5135	4125
LRIG2	1540	473	946	132	90	808	1096	740	1036
LOC114116402	907	275	425	826	743	182	644	330	382
LOC114111000	0	0	0	0	0	0	0	0	0
LOC114116403	0	0	0	0	0	0	0	0	0
LOC114113165	4	5	7	10	7	4	10	2	3
LOC114116943	30	319	24	497	519	22	46	26	20
LOC105609244	127	75	70	81	38	107	42	72	74
MAGI3	1251	686	783	499	421	967	557	648	747
PHTF1	190	98	135	91	103	156	142	103	136
LOC105615308	78	36	45	35	41	82	39	45	47
RSBN1	831	539	639	442	330	845	455	440	930
PTPN22	97	52	49	41	22	76	28	30	52
BCL2L15	122	302	92	47	59	211	84	29	154
LOC114116436	5	6	1	1	0	5	1	0	0
AP4B1	178	140	105	168	148	195	123	106	173
DCLRE1B	65	67	40	46	39	76	44	40	69
LOC114116973	0	0	0	0	0	0	0	0	0
HIPK1	2410	1627	2034	1002	846	1851	1137	1139	1812
OLFML3	1058	651	818	1165	1219	996	739	831	729
SYT6	0	1	3	0	7	6	0	0	5
TRIM33	2034	1069	1231	628	474	1553	820	1021	1536
BCAS2	311	237	241	326	252	289	223	220	368
DENND2C	106	73	67	41	25	93	34	53	52
AMPD1	0	0	0	5	0	0	0	0	0
NRAS	3081	1837	2190	1268	1078	2412	1603	1378	2533
CSDE1	9993	6531	7537	4801	4488	6599	4863	5303	7854
SIKE1	325	146	180	37	43	162	134	96	185
SYCP1	5	0	1	1	0	1	0	2	2
LOC114111212	0	0	0	0	0	0	0	0	0
TSHB	0	0	0	0	0	0	0	0	0
TRNAC-ACA_8	0	0	0	4	0	1	0	0	0
TSPAN2	102	86	81	76	93	180	41	51	89
LOC114113172	0	0	0	0	0	0	1	0	0
TRNAE-UUC_5	0	0	0	0	0	0	0	0	0
NGF	10	23	15	40	33	22	22	31	15
TRNAS-GGA_2	0	0	0	0	0	0	0	0	0
VANGL1	761	410	418	212	172	534	366	418	444
CASQ2	3	1	0	0	4	1	0	0	0
NHLH2	0	0	0	0	0	0	0	0	0
TRNAC-ACA_9	0	0	0	0	0	0	0	0	0
SLC22A15	24	20	18	19	29	49	22	9	30
MAB21L3	84	56	22	56	55	51	29	20	62
TRNAG-CCC_4	0	0	0	0	0	0	0	0	0
LOC105615359	70	48	58	35	65	66	43	43	48
ATP1A1	73885	53860	65874	52462	49934	53848	66069	66786	77302
LOC114116588	11	17	15	13	8	21	11	14	22
CD58	2109	1566	2023	1224	1213	1630	1232	1324	2062
LOC106990460	2	5	4	5	1	5	0	4	0
IGSF3	26	18	63	41	28	185	39	65	54
CD2	143	204	213	194	158	197	99	79	187
PTGFRN	1597	740	749	436	401	382	594	536	665
CD101	26	20	8	14	4	4	23	7	38
TTF2	247	179	166	163	196	156	185	144	177
TRIM45	74	86	124	271	242	148	80	89	226
VTCN1	0	2	2	0	0	1	0	0	0
LOC114116603	0	0	0	0	1	0	0	0	0
MAN1A2	2555	1280	1765	797	590	1521	959	1157	1655
TENT5C	819	356	664	538	417	493	389	413	769
LOC114110983	0	0	0	0	0	0	0	0	0
GDAP2	342	172	194	159	190	237	154	146	228
WDR3	605	438	450	512	331	519	386	330	568
SPAG17	2	1	0	0	0	1	2	1	0
LOC114111143	0	0	0	0	0	0	0	0	0
TBX15	0	0	0	0	0	0	0	0	0
WARS2	880	584	570	555	478	465	448	514	832
HAO2	28677	20646	26773	29320	27405	12696	21681	19272	26839
LOC114116621	4	11	6	3	7	8	8	16	5
HSD3B1	71	33	37	25	26	37	31	45	46
LOC114116622	45	24	19	13	9	9	17	23	37
ZNF697	1730	1044	749	798	712	1672	1009	1281	1212
PHGDH	3253	1317	1698	1307	1392	392	1753	1545	1186
HMGCS2	9	1	7	0	0	0	27	3	0
REG4	0	0	0	0	0	0	0	0	0
LOC101112189	0	0	0	0	0	0	0	0	0
LOC101112445	0	0	0	0	0	0	0	0	0
LOC101112695	0	0	0	0	0	0	0	0	0
NOTCH2	1861	909	1142	563	444	1359	806	867	899
SEC22B	1717	1010	1070	1243	896	1188	887	937	1432
PDE4DIP	659	440	555	213	239	552	434	453	517
LOC114111415	0	0	0	0	0	0	0	0	0
LOC114110880	0	0	0	0	0	0	0	0	0
TRNAC-GCA_8	0	0	1	0	0	0	0	0	0
TRNAN-GUU	0	0	0	0	0	0	0	0	0
LOC114110935	0	0	0	0	0	0	0	0	0
TRNAQ-CUG	0	0	0	0	0	0	0	0	0
TRNAN-GUU_1	0	0	0	0	0	0	0	0	0
LOC114111406	0	0	0	0	0	0	0	0	0
LOC114116663	0	0	0	0	0	0	0	0	0
LOC114111420	0	0	0	0	0	0	0	0	0
TRNAQ-CUG_1	0	0	0	0	0	0	0	0	0
LOC114117240	0	0	0	0	0	0	0	0	0
LOC114110869	0	0	0	0	0	0	0	0	0
LOC101112943	6	2	0	0	0	9	0	1	3
LOC114111429	0	0	0	0	0	0	0	0	0
LOC114111424	0	0	0	0	0	0	0	0	0
TRNAQ-CUG_2	0	0	0	0	0	0	0	0	0
LOC114111436	0	0	0	0	0	0	0	0	0
TRNAQ-CUG_3	0	0	0	0	0	0	0	0	0
LOC114110863	0	0	0	0	0	0	0	0	0
LOC114110902	0	0	0	0	0	0	0	0	0
LOC114111422	0	0	0	0	0	0	0	0	0
LOC114113181	0	0	0	0	0	0	0	0	0
LOC114117253	0	0	0	0	0	0	0	0	0
LOC114117263	0	0	0	0	0	0	0	0	0
LOC114117283	0	3	2	0	0	7	0	0	2
LOC114110924	0	0	0	0	0	0	0	0	0
TRNAQ-UUG	0	0	0	0	0	0	0	0	0
PRKAB2	794	417	499	385	424	600	410	362	665
FMO5	1039	428	459	397	325	481	339	388	746
CHD1L	450	265	327	393	324	354	236	218	375
LOC101113455	0	0	0	0	0	0	0	0	0
LOC114117345	0	0	0	0	0	0	0	0	0
LOC101113720	0	0	0	0	0	0	0	0	0
BCL9	649	498	606	422	400	535	588	460	491
ACP6	746	541	896	1027	835	1803	887	886	1317
GJA5	323	462	392	529	365	849	192	302	504
GJA8	0	0	0	0	0	0	0	0	0
LOC101115331	369	204	283	187	197	271	218	213	344
PDZK1	35758	23649	25991	20297	20669	13988	22247	21711	20585
RNF115	874	521	690	513	466	662	619	485	851
POLR3C	281	208	162	218	204	254	164	176	227
NUDT17	605	428	462	445	477	481	436	348	542
PIAS3	328	177	215	279	253	251	271	260	263
ANKRD35	69	48	33	64	33	48	59	34	74
LOC114116806	6	3	1	3	2	0	3	5	7
ITGA10	80	53	22	119	93	79	61	63	135
PEX11B	478	258	312	413	343	341	243	275	459
LOC114116810	15	6	20	28	44	15	16	20	32
RBM8A	624	484	475	314	389	447	360	336	510
LIX1L	828	410	508	335	311	714	327	376	616
ANKRD34A	14	16	5	3	5	29	13	11	30
POLR3GL	960	529	710	785	652	781	609	532	900
TXNIP	10531	10690	18467	11784	9511	12414	4834	5540	14915
HJV	0	0	0	2	0	0	0	0	0
TRNAE-CUC_1	0	0	0	0	0	0	0	0	0
TRNAG-UCC_1	0	0	0	0	0	0	0	0	0
TRNAH-GUG	2	0	0	0	0	0	0	0	0
TRNAK-CUU	0	0	0	0	0	0	0	0	0
TRNAN-GUU_2	0	0	0	0	0	0	0	0	0
LOC114111412	0	0	0	0	0	0	0	0	0
LOC114111383	0	0	0	0	0	0	0	0	0
TRNAN-GUU_3	0	0	0	0	0	0	0	0	0
