D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
LOC101118495	661	341	677	317	392	501	811	731	1066
TRNAP-AGG	0	0	0	0	0	1	0	0	0
LOC101118751	0	1	47	0	1	0	183	9	200
LOC114112993	4	0	3	0	0	0	0	0	0
LOC114111055	0	0	0	0	0	0	0	0	0
TRNAC-GCA_1	0	0	0	0	0	0	0	0	0
LOC101111769	0	0	0	0	0	0	0	0	0
LOC114111035	0	0	0	0	0	0	0	0	0
LOC114114842	15470	7593	8467	7261	6043	5737	6408	6864	12823
LOC114114844	4	0	0	0	0	1	1	0	0
LOC114111431	0	0	0	0	0	0	0	0	0
LOC114115570	25	11	8	9	16	7	2	5	13
ELAVL4	0	0	0	0	0	0	0	0	0
DMRTA2	11	0	4	21	12	13	3	5	10
FAF1	1703	1045	1278	1255	1109	1058	1355	1305	1818
CDKN2C	162	103	168	179	175	128	192	134	221
LOC114114853	30	17	13	3	1	8	20	8	20
C1H1orf185	19	12	27	11	5	7	11	9	27
RNF11	4014	1791	3102	2490	1812	2489	2458	2250	3792
TRNAY-GUA	0	0	0	0	0	0	0	0	0
TTC39A	373	254	172	195	217	161	187	196	237
EPS15	2330	1564	1732	982	904	2156	1059	1213	2281
LOC114111239	0	0	0	0	0	0	0	0	0
LOC105609515	0	0	0	0	0	3	0	0	2
OSBPL9	4172	1703	2751	1538	1377	2089	1285	1752	1749
NRDC	2333	1335	1452	1203	1094	1620	1211	1197	1649
LOC106990841	44	35	16	43	28	65	21	20	29
RAB3B	44	68	37	43	58	109	37	61	84
TXNDC12	1899	1208	1372	1622	1417	863	912	786	1349
KTI12	126	51	68	95	109	131	85	95	128
BTF3L4	788	427	603	521	403	557	322	338	595
LOC105609508	16	6	6	3	8	25	8	12	7
ZFYVE9	1093	573	718	336	276	640	553	666	717
LOC114111006	0	0	0	0	0	0	0	0	0
LOC114114874	49	24	21	63	43	39	33	23	43
CC2D1B	1130	714	761	598	562	733	773	774	1084
LOC105609509	0	2	0	0	0	0	0	1	1
